Epoch,Phase,Iteration,Accuracy,Loss
236,Val,472,0.75,0.3444758573958775
240,Training,480,0.75,0.34481746069906793
240,Val,480,0.75,0.3443517740529076
244,Training,488,0.25,0.34470484097116866
244,Val,488,0.75,0.3442344279516866
248,Training,496,0.25,0.35928420613008627
248,Val,496,0.75,0.3440950492861594
252,Training,504,0.75,0.3444305242067083
252,Val,504,0.75,0.3439596035822448
256,Training,512,0.25,0.3589108643825681
256,Val,512,0.75,0.3438108028235284
260,Training,520,0.75,0.3439476189025097
260,Val,520,0.75,0.3436679853076787
264,Training,528,0.75,0.3437896395988861
264,Val,528,0.75,0.34350901180074667
268,Training,536,0.75,0.34363406389464624
268,Val,536,0.75,0.34334948944884147
272,Training,544,0.25,0.35805848656386696
272,Val,544,0.75,0.3431717436584599
276,Training,552,0.75,0.3432742845740116
276,Val,552,0.75,0.3429848077823374
280,Training,560,0.75,0.3432862250346781
280,Val,560,0.75,0.3427968132561161
284,Training,568,0.75,0.3428962345483464
284,Val,568,0.75,0.3426031995903632
288,Training,576,0.75,0.3428952596190795
288,Val,576,0.75,0.3423996883453682
292,Training,584,0.75,0.35678598818137136
292,Val,584,0.75,0.34216487622396646
296,Training,592,0.75,0.35648959119563195
296,Val,592,0.75,0.3419260669372228
300,Training,600,0.75,0.34198579644751637
300,Val,600,0.75,0.3416800611289122
304,Training,608,0.75,0.3419285292878896
304,Val,608,0.75,0.3414219049016315
308,Training,616,0.25,0.355556205964756
308,Val,616,0.75,0.3411366063011119
312,Training,624,0.25,0.35521350709368216
312,Val,624,0.75,0.34084907190142866
316,Training,632,0.75,0.3410748841107334
316,Val,632,0.75,0.34055614318717875
320,Training,640,0.75,0.3544810838653158
320,Val,640,0.75,0.34023776200426614
324,Training,648,0.75,0.3402452948545299
324,Val,648,0.75,0.33991787343422936
328,Training,656,0.75,0.3401110561231301
328,Val,656,0.75,0.33958264698882135
332,Training,664,0.75,0.3395682230713932
332,Val,664,0.75,0.33923207379099474
336,Training,672,0.75,0.3529105447361968
336,Val,672,0.75,0.3388620423721796
340,Training,680,0.75,0.3390138154795538
340,Val,680,0.75,0.33847306804274535
344,Training,688,0.75,0.3384108572828365
344,Val,688,0.75,0.33805819271178494
348,Training,696,0.75,0.33818726392699355
348,Val,696,0.75,0.33763728559605727
352,Training,704,0.75,0.3375522202843625
352,Val,704,0.75,0.3371902796830957
356,Training,712,0.75,0.35047084985921856
356,Val,712,0.75,0.3367006220166535
360,Training,720,0.25,0.3499131210351152
360,Val,720,0.75,0.33619373638427663
364,Training,728,0.75,0.33626231234092135
364,Val,728,0.75,0.335692502494099
368,Training,736,0.75,0.33574554554669933
368,Val,736,0.75,0.33516997148699973
372,Training,744,0.75,0.33520756942748864
372,Val,744,0.75,0.33462699889484027
376,Training,752,0.75,0.3475520942637349
376,Val,752,0.75,0.3340584307318062
380,Training,760,0.75,0.3468996347862029
380,Val,760,0.75,0.333468380156394
384,Training,768,0.75,0.3334487465235616
384,Val,768,0.75,0.33285239102460173
388,Training,776,0.75,0.3326350240991295
388,Val,776,0.75,0.3322171033295612
392,Training,784,0.75,0.3448110767217587
392,Val,784,0.75,0.3315576108931889
396,Training,792,0.75,0.3314888700510192
396,Val,792,0.75,0.33087446329118175
400,Training,800,0.75,0.3305853765202271
400,Val,800,0.75,0.3301491407793339
404,Training,808,0.75,0.3424668965981282
404,Val,808,0.75,0.3294023676059394
408,Training,816,0.75,0.3292845795888809
408,Val,816,0.75,0.3286539751432517
412,Training,824,0.75,0.32834020902409466
412,Val,824,0.75,0.3278809101934589
416,Training,832,0.75,0.32754256368379936
416,Val,832,0.75,0.3270776328507542
420,Training,840,0.75,0.3269085985947058
420,Val,840,0.75,0.32625912633338805
424,Training,848,0.75,0.32607418694695944
424,Val,848,0.75,0.3254181371585477
428,Training,856,0.75,0.3250489370362488
428,Val,856,0.75,0.3245564479168422
432,Training,864,0.75,0.32432142367801464
432,Val,864,0.75,0.32365299815643556
