Epoch,Phase,Iteration,Accuracy,Loss
360,Val,720,0.5,0.34540409472203065
364,Training,728,0.75,0.34661734095408914
364,Val,728,0.5,0.34533516663330754
368,Training,736,0.5,0.3460852678016919
368,Val,736,0.5,0.3452450629270928
372,Training,744,0.75,0.34650641578982444
372,Val,744,0.5,0.3451640160229774
376,Training,752,0.5,0.34640614634729994
376,Val,752,0.5,0.3450742301065193
380,Training,760,0.5,0.3459179623935646
380,Val,760,0.5,0.34495110312054333
384,Training,768,0.25,0.3586812867922894
384,Val,768,0.5,0.34483974154985075
388,Training,776,0.25,0.35867360026112627
388,Val,776,0.5,0.34469756714556493
392,Training,784,0.5,0.34557740781766033
392,Val,784,0.5,0.3445713892398578
396,Training,792,0.75,0.34602096711664565
396,Val,792,0.5,0.34441008319623356
400,Training,800,0.75,0.3459019895678549
400,Val,800,0.5,0.344238445386592
404,Training,808,0.5,0.3451956268497129
404,Val,808,0.5,0.34406110295936204
408,Training,816,0.75,0.3455773700442614
408,Val,816,0.5,0.343802710272289
412,Training,824,0.5,0.34533499675909696
412,Val,824,0.75,0.34353434962067353
416,Training,832,0.75,0.34509455412092094
416,Val,832,0.75,0.3432235725955581
420,Training,840,0.5,0.3442824482178739
420,Val,840,0.5,0.3428752735970455
424,Training,848,0.25,0.35769799694040194
424,Val,848,0.75,0.3425164323663813
428,Training,856,0.25,0.35747584915793706
428,Val,856,0.75,0.3420890537837202
432,Training,864,0.75,0.35749791264559994
432,Val,864,0.75,0.34163158686105377
436,Training,872,0.5,0.3433523961836822
436,Val,872,0.75,0.34109735808754676
440,Training,880,0.5,0.34223412236274664
440,Val,880,0.75,0.3404739182830723
444,Training,888,0.75,0.3423227084611171
444,Val,888,0.75,0.3397901264202096
448,Training,896,0.5,0.3409732338709889
448,Val,896,0.75,0.3389925532557282
452,Training,904,0.5,0.35466303973538466
452,Val,904,0.75,0.3381533464577773
456,Training,912,0.75,0.35420222840821947
456,Val,912,0.75,0.33717874121348845
460,Training,920,0.75,0.3531963157696818
460,Val,920,0.75,0.33611519036398063
464,Training,928,0.75,0.3380454728254936
464,Val,928,0.75,0.3349034356611806
468,Training,936,0.75,0.33629576492425917
468,Val,936,0.75,0.3334868747454403
472,Training,944,0.75,0.33482132603259174
472,Val,944,0.75,0.33197337145199707
476,Training,952,0.75,0.3332968722874491
476,Val,952,0.75,0.330248104335892
480,Training,960,0.75,0.33159541589926683
480,Val,960,0.75,0.32840091103886754
484,Training,968,0.75,0.3302097494086088
484,Val,968,0.75,0.3264123748337002
488,Training,976,0.5,0.34228893348482287
488,Val,976,0.75,0.32422050346413933
492,Training,984,0.75,0.34021335643187883
492,Val,984,0.75,0.32193639861730683
496,Training,992,0.75,0.3378606872421736
496,Val,992,0.75,0.3195602719791103
500,Training,1000,0.75,0.32110895090902136
500,Val,1000,0.75,0.31697116344925336
504,Training,1008,0.75,0.318627060106628
504,Val,1008,0.75,0.31429280045141705
508,Training,1016,0.75,0.315889457189026
508,Val,1016,0.75,0.3115121974239212
512,Training,1024,0.75,0.31315663662158416
512,Val,1024,0.75,0.30863788257376257
516,Training,1032,0.75,0.3102836203587836
516,Val,1032,0.75,0.30567089714843804
520,Training,1040,0.75,0.32129448106167524
520,Val,1040,0.75,0.30264536195443886
524,Training,1048,0.75,0.3043013540977867
524,Val,1048,0.75,0.29947321797797666
528,Training,1056,0.75,0.30123650726773665
528,Val,1056,0.75,0.2961866961494126
532,Training,1064,0.75,0.3115205431686084
532,Val,1064,0.75,0.29276359287581766
536,Training,1072,0.75,0.2943012786802408
536,Val,1072,0.75,0.28909241417321385
540,Training,1080,0.75,0.2905948815657595
540,Val,1080,0.75,0.2851853673550765
544,Training,1088,0.75,0.28648792492035163
544,Val,1088,0.75,0.2809102764708948
548,Training,1096,0.75,0.2959028500495368
548,Val,1096,0.75,0.2763129477968228
552,Training,1104,0.75,0.27748509079878936
552,Val,1104,0.75,0.27118396482497764
556,Training,1112,0.75,0.2721921028267951
556,Val,1112,0.75,0.26550378907233924
560,Training,1120,0.75,0.28003212808170064
560,Val,1120,0.75,0.2591230699790076
564,Training,1128,0.75,0.2593247115309851
564,Val,1128,0.75,0.25205098656943137
568,Training,1136,0.75,0.2645739404189553
568,Val,1136,0.75,0.2439428024430607
572,Training,1144,0.75,0.24285837512442104
572,Val,1144,0.75,0.23508731517687687
576,Training,1152,0.75,0.23373772360974474
576,Val,1152,0.75,0.22526441462322497
580,Training,1160,0.75,0.22286480761940153
580,Val,1160,0.75,0.2145835784617326
584,Training,1168,0.75,0.21171271723243182
